Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.29,-.18,-.11,-.20,-.12,-.23,-.21,-.09,-.16,-.23,-.20,-.23,-.19,***,***,-.14,-.18,-.20
1881,-.15,-.17,.04,.04,.02,-.20,-.07,-.02,-.14,-.20,-.22,-.11,-.10,-.11,-.18,.03,-.10,-.19
1882,.14,.15,.04,-.19,-.16,-.26,-.21,-.05,-.10,-.25,-.16,-.24,-.11,-.10,.06,-.10,-.17,-.17
1883,-.31,-.39,-.13,-.17,-.20,-.13,-.08,-.15,-.21,-.14,-.22,-.16,-.19,-.20,-.32,-.17,-.12,-.19
1884,-.15,-.08,-.37,-.43,-.37,-.41,-.35,-.26,-.27,-.24,-.30,-.29,-.29,-.28,-.13,-.39,-.34,-.27
1885,-.59,-.30,-.25,-.42,-.42,-.44,-.36,-.31,-.24,-.19,-.20,-.05,-.31,-.33,-.39,-.36,-.37,-.21
1886,-.42,-.45,-.38,-.28,-.26,-.39,-.22,-.34,-.26,-.28,-.31,-.26,-.32,-.30,-.31,-.31,-.31,-.28
1887,-.73,-.52,-.34,-.38,-.32,-.24,-.23,-.32,-.23,-.32,-.23,-.33,-.35,-.34,-.50,-.35,-.26,-.26
1888,-.37,-.36,-.41,-.22,-.22,-.18,-.09,-.15,-.09,.02,.01,-.06,-.18,-.20,-.35,-.28,-.14,-.02
1889,-.11,.19,.08,.08,-.02,-.13,-.10,-.19,-.22,-.22,-.33,-.29,-.11,-.09,.01,.05,-.14,-.25
1890,-.44,-.45,-.40,-.36,-.45,-.26,-.26,-.38,-.39,-.24,-.48,-.31,-.37,-.37,-.39,-.40,-.30,-.37
1891,-.41,-.47,-.18,-.27,-.18,-.20,-.20,-.16,-.14,-.21,-.34,-.04,-.23,-.25,-.40,-.21,-.18,-.23
1892,-.28,-.11,-.35,-.34,-.24,-.23,-.32,-.25,-.12,-.12,-.41,-.38,-.26,-.23,-.14,-.31,-.26,-.22
1893,-.79,-.53,-.23,-.29,-.36,-.28,-.15,-.26,-.20,-.16,-.16,-.34,-.31,-.32,-.57,-.29,-.23,-.17
1894,-.53,-.33,-.24,-.48,-.34,-.44,-.26,-.22,-.24,-.20,-.25,-.19,-.31,-.32,-.40,-.35,-.30,-.23
1895,-.44,-.42,-.28,-.24,-.26,-.24,-.17,-.16,-.09,-.08,-.14,-.15,-.22,-.23,-.35,-.26,-.19,-.10
1896,-.25,-.14,-.25,-.30,-.18,-.14,-.03,-.03,-.03,.12,-.07,-.03,-.11,-.12,-.18,-.24,-.07,.01
1897,-.14,-.14,-.13,-.02,-.05,-.16,-.07,-.11,-.07,-.12,-.18,-.19,-.12,-.10,-.11,-.07,-.11,-.13
1898,-.02,-.29,-.51,-.32,-.31,-.20,-.24,-.25,-.21,-.33,-.37,-.24,-.27,-.27,-.17,-.38,-.23,-.30
1899,-.19,-.40,-.34,-.20,-.23,-.33,-.18,-.06,-.03,-.05,.12,-.28,-.18,-.18,-.28,-.26,-.19,.02
1900,-.36,-.02,.02,-.12,-.10,-.12,-.13,-.10,-.04,.09,-.09,-.07,-.09,-.10,-.22,-.07,-.12,-.01
1901,-.23,-.03,.08,-.03,-.16,-.12,-.15,-.20,-.22,-.30,-.16,-.27,-.15,-.13,-.11,-.04,-.16,-.23
1902,-.19,-.02,-.28,-.29,-.34,-.34,-.29,-.32,-.28,-.29,-.38,-.45,-.29,-.27,-.16,-.30,-.32,-.31
1903,-.24,-.03,-.23,-.41,-.43,-.45,-.37,-.48,-.48,-.48,-.44,-.51,-.38,-.37,-.24,-.36,-.43,-.47
1904,-.67,-.57,-.50,-.54,-.55,-.51,-.53,-.49,-.52,-.39,-.20,-.34,-.48,-.50,-.58,-.53,-.51,-.37
1905,-.39,-.59,-.22,-.35,-.33,-.30,-.29,-.21,-.18,-.25,-.09,-.18,-.28,-.30,-.44,-.30,-.27,-.17
1906,-.27,-.30,-.16,-.04,-.24,-.20,-.25,-.19,-.26,-.18,-.38,-.16,-.22,-.22,-.25,-.14,-.22,-.28
1907,-.41,-.51,-.27,-.38,-.46,-.43,-.36,-.35,-.33,-.24,-.48,-.48,-.39,-.36,-.36,-.37,-.38,-.35
1908,-.43,-.30,-.53,-.45,-.41,-.41,-.39,-.46,-.35,-.44,-.49,-.48,-.43,-.43,-.40,-.46,-.42,-.43
1909,-.68,-.46,-.51,-.59,-.56,-.52,-.44,-.30,-.35,-.36,-.30,-.54,-.47,-.46,-.54,-.55,-.42,-.34
1910,-.44,-.43,-.50,-.40,-.34,-.37,-.34,-.35,-.35,-.38,-.53,-.66,-.42,-.41,-.47,-.41,-.35,-.42
1911,-.63,-.57,-.59,-.53,-.51,-.47,-.41,-.41,-.37,-.22,-.18,-.21,-.43,-.46,-.62,-.55,-.43,-.26
1912,-.26,-.11,-.34,-.19,-.21,-.25,-.44,-.54,-.51,-.56,-.37,-.43,-.35,-.33,-.19,-.25,-.41,-.48
1913,-.41,-.42,-.42,-.39,-.46,-.48,-.36,-.33,-.35,-.33,-.18,-.03,-.35,-.38,-.42,-.43,-.39,-.29
1914,.05,-.10,-.21,-.28,-.22,-.26,-.24,-.14,-.12,-.03,-.17,-.07,-.15,-.15,-.03,-.24,-.21,-.11
1915,-.16,.00,-.09,.07,-.06,-.20,-.10,-.19,-.17,-.24,-.12,-.16,-.12,-.11,-.08,-.03,-.17,-.18
1916,-.09,-.12,-.27,-.29,-.32,-.46,-.36,-.25,-.32,-.27,-.39,-.79,-.33,-.27,-.12,-.30,-.36,-.33
1917,-.58,-.61,-.60,-.50,-.55,-.43,-.25,-.21,-.17,-.40,-.28,-.67,-.44,-.45,-.66,-.55,-.30,-.28
1918,-.42,-.31,-.24,-.44,-.45,-.35,-.31,-.29,-.14,-.05,-.10,-.27,-.28,-.31,-.46,-.38,-.32,-.10
1919,-.19,-.22,-.19,-.12,-.27,-.36,-.28,-.32,-.21,-.18,-.40,-.41,-.26,-.25,-.23,-.19,-.32,-.27
1920,-.22,-.22,-.08,-.26,-.27,-.36,-.31,-.24,-.19,-.26,-.26,-.43,-.26,-.26,-.29,-.20,-.30,-.24
1921,-.02,-.19,-.22,-.29,-.29,-.27,-.15,-.24,-.17,-.02,-.13,-.16,-.18,-.20,-.21,-.26,-.22,-.11
1922,-.33,-.43,-.13,-.24,-.33,-.32,-.26,-.30,-.32,-.32,-.14,-.18,-.28,-.27,-.31,-.23,-.29,-.26
1923,-.29,-.37,-.34,-.40,-.34,-.26,-.30,-.30,-.27,-.11,.01,-.02,-.25,-.26,-.28,-.36,-.28,-.12
1924,-.22,-.23,-.06,-.31,-.18,-.23,-.26,-.33,-.30,-.34,-.19,-.41,-.26,-.22,-.16,-.18,-.27,-.28
1925,-.37,-.38,-.25,-.25,-.30,-.33,-.28,-.16,-.16,-.17,.04,.09,-.21,-.25,-.39,-.27,-.26,-.10
1926,.20,.06,.11,-.12,-.22,-.22,-.24,-.13,-.12,-.09,-.04,-.27,-.09,-.06,.12,-.07,-.20,-.08
1927,-.27,-.17,-.36,-.30,-.25,-.26,-.17,-.20,-.10,.01,-.03,-.32,-.20,-.20,-.24,-.30,-.21,-.04
1928,.00,-.07,-.26,-.27,-.29,-.36,-.18,-.21,-.18,-.17,-.08,-.16,-.19,-.20,-.13,-.28,-.25,-.14
1929,-.45,-.59,-.31,-.39,-.37,-.40,-.33,-.29,-.22,-.11,-.11,-.52,-.34,-.31,-.40,-.36,-.34,-.15
1930,-.30,-.27,-.07,-.24,-.23,-.20,-.19,-.12,-.12,-.08,.17,-.06,-.14,-.18,-.36,-.18,-.17,-.01
